id,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Настройки-Параметры товаров-Отображать в навигации
85,Батарея,,,,,Батарея [battery],
86,"Количество зон управления, шт",,,,,"Количество зон управления, шт [kolvo_zon_upravl]",
87,"Длина волны, нм",,,,,"Длина волны, нм [dlina_volny_nm]",
88,Наличие вилки,,,Наличие вилки,,,
89,Наличие выключателя,,,Наличие выключателя,,,
90,"Длина провода, мм",,,"Длина провода, мм",,,
91,Цвет корпуса/арматуры,ЦветАрматуры,Цвет корпуса,Цвет арматуры,Цвет арматуры,Цвет корпуса [cvet_korpusa],
92,Цвет корпуса/арматуры,,,,,Цвет [COLOR],
93,Цвет хрусталя,ЦветХрусталя,,,,,
94,"Цвет абажура (плафона, декора)",ЦветАбажура,,Цвет плафона (Декора),Цвет плафона,,
95,Цвет подвесок,,,Цвет подвесок,,,
96,Цвет рожков,,,Цвет рожков,,,
97,Цвет чаш,,,Цвет чаш,,,
98,Цвет провода,,,Цвет провода,,,
99,Материал корпуса/арматуры,МатериалАрматуры,Материал корпуса,Материал арматуры,Материал арматуры,Материал [material],
100,Материал подвесок,,,Материал подвесок,,,
101,Материал рожков,,,Материал рожков,,,
102,Материал чаш,,,Материал чаш,,,
103,"Диаметр, мм",Диаметр,Диаметр,"Диаметр, мм","Диаметр, мм",,
104,"Длина, мм",Длина,Длина,"Длина (Глубина), мм","Длина, мм",,
105,"Ширина, мм",Ширина,Ширина,"Ширина, мм","Ширина, мм",,
106,"Высота, мм",Высота,Высота,"Высота, мм",Высота минимальная,,
107,"Высота, мм",,Глубина,,,,
108,"Минимальная высота, мм",МинимальнаяВысота,,"Высота min, мм","Высота минимальная, мм",,
109,"Максимальная высота, мм",,,"Высота max, мм",Высота максимальная мм,,
110,"Длина упаковки, мм",,,,"Длина, мм (упаковка)",,Не отображать в общем фильтре
111,"Ширина упаковки, мм",,,,"Ширина, мм (упаковка)",,Не отображать в общем фильтре
112,"Высота упаковки, мм",,,,"Высота, мм (упаковка)",,Не отображать в общем фильтре
113,"Размеры (ДхШхВ), мм",,,,,"Размеры (ДхШхВ), мм [dimensions]",Не отображать в общем фильтре
114,"Размеры (ДхШхВ), мм",,,,,"Размеры, мм [PROPORTIONS]",Не отображать в общем фильтре
115,Габариты,,Габариты,,,,Не отображать в общем фильтре
116,"Ширина СпМ, мм",,,"Ширина СпМ, мм",,,Не отображать в общем фильтре
117,"Ширина макс, мм",,,"Ширина макс, мм",,,Не отображать в общем фильтре
118,"Вес нетто, кг",ВесНетто,Вес,"Масса, кг","Вес нетто, кг","Вес, гр. [WEIGHT]",Не отображать в общем фильтре
119,"Вес брутто, кг",ВесБрутто,,,"Вес брутто, кг",,Не отображать в общем фильтре
120,Форма чаши крепления,ФормаЧашиКрепления,,,,,
121,"Ширина чаши крепления, мм",ШиринаЧашиКрепления,,,,,
122,"Длина чаши крепления, мм",ДлинаЧашиКрепления,,,,,
123,"Диаметр чаши крепления, мм",ДиаметрЧашиКрепления,,,,,
124,"Высота чаши крепления, мм",ВысотаЧашиКрепления,,,,,
125,"Форма абажура (плафона, декора)",ФормаАбажура,,,,,
126,"Тип крепления абажура  (плафона, декора)",ТипКрепленияАбажура,,"Тип крепления плафона, На арматуру / На лампу",,,
127,"Материал абажура  (плафона, декора)",МатериалАбажура,,Материал плафона (Декора),Материал плафона,,
128,"Высота абажура (плафона, декора), мм",ВысотаАбажура,,,,,
129,"Ширина абажура  (плафона, декора), мм",ШиринаАбажура,,,,,
130,"Длина абажура (плафона, декора), мм",ДлинаАбажура,,,,,
131,"Нижний диаметр абажура (плафона, декора), мм",НижнийДиаметрАбажура,,,,,
132,"Верхняя ширина абажура (плафона, декора), мм",ВерхняяШиринаАбажура,,,,,
133,"Нижняя ширина абажура (плафона, декора), мм",НижняяШиринаАбажура,,,,,
134,"Верхняя длина абажура (плафона, декора), мм",ВерхняяДлинаАбажура,,,,,
135,"Нижняя длина абажура (плафона, декора), мм",НижняяДлинаАбажура,,,,,
136,"Диаметр абажура (плафона, декора), мм",ДиаметрАбажура,,,,,
137,"Радиус абажура (плафона, декора), мм",РадиусАбажура,,,,,
138,"Количество плафонов (декор элем встройки), шт",,,"Количество плафонов (декор элем встройки), шт (если 0 - нет)",,,
139,"Количество рожков, шт",,,"Количество рожков, шт (если 0 - нет)",,,Не отображать в общем фильтре
140,"Направление рожков, Вверх/Вниз",,,"Направление рожков, Вверх/Вниз",,,Не отображать в общем фильтре
141,"Угол поворота по вертикали, °",,,"Угол поворота по вертикали, °",,,Не отображать в общем фильтре
